txn_id,timestamp,src,dst,amount,channel,src_country,dst_country
T0003039,2025-01-06 09:35:00.000000000,ACC00219,ACC00240,2258.43,CASH,US,IN
T0000501,2025-01-06 09:40:00.000000000,ACC00035,ACC00027,1009.68,WIRE,DE,US
T0003664,2025-01-06 09:50:00.000000000,ACC00103,ACC00266,448.88,WIRE,SG,CA
T0001727,2025-01-06 09:57:00.000000000,ACC00125,ACC00120,464.76,CARD,DE,DE
T0004093,2025-01-06 10:00:00.000000000,ACC00062,ACC00055,50000.0,WIRE,SG,AU
T0001212,2025-01-06 10:10:00.000000000,ACC00089,ACC00047,3094.81,WIRE,CA,DE
T0000608,2025-01-06 10:17:00.000000000,ACC00144,ACC00043,672.85,WIRE,SG,US
T0001201,2025-01-06 10:24:00.000000000,ACC00089,ACC00188,97.09,ACH,CA,IN
T0003854,2025-01-06 10:28:00.000000000,ACC00172,ACC00286,165.37,CARD,CA,GB
T0001951,2025-01-06 10:28:00.000000000,ACC00109,ACC00139,99.29,WIRE,AU,IN
T0002961,2025-01-06 10:45:00.000000000,ACC00213,ACC00084,367.64,WIRE,GB,DE
T0002071,2025-01-06 10:50:00.000000000,ACC00149,ACC00062,504.58,WIRE,GB,SG
T0001314,2025-01-06 10:52:00.000000000,ACC00096,ACC00208,616.34,WIRE,GB,US
T0002288,2025-01-06 10:54:00.000000000,ACC00164,ACC00041,879.07,CASH,GB,CA
T0002909,2025-01-06 10:54:00.000000000,ACC00209,ACC00299,46.97,CASH,AU,US
T0002437,2025-01-06 10:54:00.000000000,ACC00176,ACC00282,482.4,CRYPTO,IN,AU
T0000669,2025-01-06 10:57:00.000000000,ACC00036,ACC00048,197.03,ACH,CA,CA
T0002333,2025-01-06 10:59:00.000000000,ACC00224,ACC00168,534.27,WIRE,AU,CA
T0003567,2025-01-06 11:02:00.000000000,ACC00258,ACC00009,482.71,WIRE,CA,US
T0000399,2025-01-06 11:05:00.000000000,ACC00253,ACC00030,481.29,ACH,GB,GB
T0002873,2025-01-06 11:11:00.000000000,ACC00207,ACC00069,535.87,WIRE,CA,DE
T0002972,2025-01-06 11:12:00.000000000,ACC00111,ACC00214,3994.81,ACH,SG,SG
T0001767,2025-01-06 11:13:00.000000000,ACC00271,ACC00127,178.53,ACH,CA,IN
T0001049,2025-01-06 11:13:00.000000000,ACC00164,ACC00073,674.98,ACH,GB,SG
T0002746,2025-01-06 11:16:00.000000000,ACC00198,ACC00053,855.57,WIRE,DE,US
T0003309,2025-01-06 11:22:00.000000000,ACC00240,ACC00274,1424.78,CRYPTO,IN,AU
T0002823,2025-01-06 11:26:00.000000000,ACC00198,ACC00204,1005.92,CASH,DE,DE
T0004089,2025-01-06 11:42:50.645603987,ACC00012,ACC00069,7049.33,WIRE,DE,DE
T0001845,2025-01-06 11:47:00.000000000,ACC00063,ACC00133,711.32,CRYPTO,US,IN
T0000075,2025-01-06 12:00:00.000000000,ACC00010,ACC00005,1645.99,CARD,GB,SG
T0001982,2025-01-06 12:08:00.000000000,ACC00141,ACC00095,229.13,CARD,AU,IN
T0001054,2025-01-06 12:08:00.000000000,ACC00073,ACC00140,253.44,WIRE,SG,GB
T0001762,2025-01-06 12:12:00.000000000,ACC00127,ACC00053,1758.09,WIRE,IN,US
T0000532,2025-01-06 12:12:00.000000000,ACC00125,ACC00037,1128.81,CRYPTO,DE,AU
T0001944,2025-01-06 12:21:00.000000000,ACC00195,ACC00139,3783.73,ACH,CA,IN
T0002364,2025-01-06 12:39:00.000000000,ACC00014,ACC00170,49.83,WIRE,DE,AU
T0002336,2025-01-06 12:41:00.000000000,ACC00168,ACC00222,868.08,WIRE,CA,CA
T0002681,2025-01-06 12:42:00.000000000,ACC00194,ACC00178,665.48,WIRE,DE,DE
T0000681,2025-01-06 12:50:00.000000000,ACC00049,ACC00252,491.52,CASH,GB,IN
T0004019,2025-01-06 12:52:00.000000000,ACC00014,ACC00299,521.74,WIRE,DE,US
T0000534,2025-01-06 12:53:00.000000000,ACC00037,ACC00128,470.16,ACH,AU,SG
T0001537,2025-01-06 13:01:00.000000000,ACC00112,ACC00069,109.59,CARD,IN,DE
T0002564,2025-01-06 13:05:00.000000000,ACC00070,ACC00186,448.69,WIRE,US,GB
T0000710,2025-01-06 13:06:00.000000000,ACC00285,ACC00051,4788.34,ACH,IN,SG
T0001259,2025-01-06 13:06:00.000000000,ACC00093,ACC00025,254.61,ACH,GB,SG
T0000508,2025-01-06 13:06:00.000000000,ACC00271,ACC00035,657.34,WIRE,CA,DE
T0000921,2025-01-06 13:07:00.000000000,ACC00065,ACC00139,1142.78,ACH,IN,IN
T0001344,2025-01-06 13:09:00.000000000,ACC00098,ACC00058,184.21,ACH,IN,CA
T0000086,2025-01-06 13:13:00.000000000,ACC00265,ACC00005,5506.08,CARD,IN,SG
T0000251,2025-01-06 13:18:00.000000000,ACC00287,ACC00016,1200.91,WIRE,AU,AU
T0002879,2025-01-06 13:25:00.000000000,ACC00297,ACC00207,1018.83,WIRE,AU,CA
T0002732,2025-01-06 13:28:00.000000000,ACC00059,ACC00197,1078.93,ACH,IN,US
T0000506,2025-01-06 13:29:00.000000000,ACC00130,ACC00035,1058.45,CARD,CA,DE
T0000776,2025-01-06 13:33:00.000000000,ACC00272,ACC00055,225.59,ACH,GB,AU
T0001522,2025-01-06 13:34:00.000000000,ACC00012,ACC00111,167.74,WIRE,DE,SG
T0002202,2025-01-06 13:36:00.000000000,ACC00158,ACC00164,412.73,WIRE,US,GB
T0002963,2025-01-06 13:37:00.000000000,ACC00214,ACC00270,176.03,WIRE,SG,GB
T0003102,2025-01-06 13:39:00.000000000,ACC00224,ACC00162,713.55,ACH,AU,GB
T0000791,2025-01-06 13:41:00.000000000,ACC00194,ACC00056,2247.74,WIRE,DE,CA
T0001882,2025-01-06 13:47:00.000000000,ACC00135,ACC00102,449.27,ACH,SG,AU
T0002274,2025-01-06 13:47:00.000000000,ACC00067,ACC00163,774.12,CARD,CA,CA
T0001763,2025-01-06 13:54:00.000000000,ACC00127,ACC00183,2056.06,CARD,IN,AU
T0004122,2025-01-06 14:00:00.000000000,ACC00142,ACC00079,9795.41,CASH,DE,US
T0000440,2025-01-06 14:03:00.000000000,ACC00032,ACC00009,415.72,CRYPTO,US,US
T0000615,2025-01-06 14:10:00.000000000,ACC00153,ACC00043,7416.59,ACH,DE,US
T0002491,2025-01-06 14:11:00.000000000,ACC00179,ACC00202,461.54,ACH,GB,SG
T0002132,2025-01-06 14:14:00.000000000,ACC00231,ACC00152,53.5,CARD,US,SG
T0001925,2025-01-06 14:23:00.000000000,ACC00089,ACC00138,494.12,CRYPTO,CA,AU
T0004092,2025-01-06 14:25:05.413094491,ACC00012,ACC00066,3543.2,CRYPTO,DE,CA
T0002528,2025-01-06 14:39:00.000000000,ACC00183,ACC00207,788.41,WIRE,AU,CA
T0003204,2025-01-06 14:46:00.000000000,ACC00184,ACC00232,380.56,CARD,GB,IN
T0002347,2025-01-06 14:51:00.000000000,ACC00194,ACC00169,310.3,WIRE,DE,DE
T0001486,2025-01-06 15:00:00.000000000,ACC00198,ACC00108,81.8,CASH,DE,US
T0002355,2025-01-06 15:09:00.000000000,ACC00169,ACC00133,469.62,WIRE,DE,IN
T0000016,2025-01-06 15:09:00.000000000,ACC00001,ACC00278,346.31,CARD,IN,CA
T0000162,2025-01-06 15:13:00.000000000,ACC00085,ACC00011,259.82,ACH,GB,CA
T0004088,2025-01-06 15:13:24.293698415,ACC00012,ACC00158,16970.23,CRYPTO,DE,US
T0003759,2025-01-06 15:16:00.000000000,ACC00074,ACC00276,665.31,WIRE,IN,AU
T0002532,2025-01-06 15:26:00.000000000,ACC00074,ACC00183,408.93,CASH,IN,AU
T0000193,2025-01-06 15:36:00.000000000,ACC00107,ACC00013,425.86,WIRE,IN,IN
T0002777,2025-01-06 15:37:00.000000000,ACC00200,ACC00257,110.21,WIRE,US,GB
T0001818,2025-01-06 15:39:00.000000000,ACC00056,ACC00131,725.5,CARD,CA,US
T0001753,2025-01-06 15:40:00.000000000,ACC00004,ACC00126,1170.53,CARD,SG,GB
T0004087,2025-01-06 15:43:58.356802383,ACC00012,ACC00299,8983.6,CRYPTO,DE,US
T0003993,2025-01-06 15:48:00.000000000,ACC00059,ACC00297,315.68,WIRE,IN,AU
T0001553,2025-01-06 15:54:00.000000000,ACC00113,ACC00004,1969.87,ACH,GB,SG
T0001157,2025-01-06 15:55:00.000000000,ACC00217,ACC00084,1165.03,ACH,CA,DE
T0004094,2025-01-06 16:00:00.000000000,ACC00055,ACC00275,49500.0,WIRE,AU,IN
T0002304,2025-01-06 16:08:00.000000000,ACC00016,ACC00166,186.1,ACH,AU,DE
T0000700,2025-01-06 16:18:00.000000000,ACC00189,ACC00050,1377.72,WIRE,SG,CA
T0004090,2025-01-06 16:28:06.138569256,ACC00012,ACC00196,6271.81,CRYPTO,DE,DE
T0001386,2025-01-06 16:29:00.000000000,ACC00100,ACC00222,2506.3,CRYPTO,IN,CA
T0002816,2025-01-06 16:30:00.000000000,ACC00203,ACC00035,354.2,WIRE,DE,DE
T0000574,2025-01-06 16:31:00.000000000,ACC00040,ACC00273,464.25,WIRE,CA,SG
T0003561,2025-01-06 16:37:00.000000000,ACC00108,ACC00257,184.7,WIRE,US,GB
T0001668,2025-01-06 16:44:00.000000000,ACC00213,ACC00120,468.41,WIRE,GB,DE
T0002859,2025-01-06 16:44:00.000000000,ACC00289,ACC00206,320.34,WIRE,AU,SG
T0003490,2025-01-06 16:45:00.000000000,ACC00252,ACC00163,376.82,ACH,IN,CA
T0000684,2025-01-06 16:57:00.000000000,ACC00232,ACC00049,668.16,WIRE,IN,GB
T0000849,2025-01-06 16:58:00.000000000,ACC00106,ACC00059,640.2,ACH,DE,IN
T0002490,2025-01-06 16:58:00.000000000,ACC00261,ACC00179,1286.12,ACH,CA,GB
T0004091,2025-01-06 16:59:16.433122010,ACC00012,ACC00136,2172.78,WIRE,DE,CA
T0002722,2025-01-06 17:07:00.000000000,ACC00088,ACC00196,1625.54,ACH,GB,DE
T0001180,2025-01-06 17:13:00.000000000,ACC00087,ACC00284,82.61,ACH,DE,AU
T0000241,2025-01-06 17:13:00.000000000,ACC00177,ACC00016,1483.98,WIRE,IN,AU
T0003431,2025-01-06 17:13:00.000000000,ACC00249,ACC00234,1154.54,ACH,GB,DE
T0001253,2025-01-06 17:15:00.000000000,ACC00058,ACC00093,548.98,CASH,CA,GB
T0001918,2025-01-06 17:36:00.000000000,ACC00246,ACC00137,726.5,WIRE,US,CA
T0002996,2025-01-06 17:37:00.000000000,ACC00216,ACC00120,475.41,CARD,DE,DE
T0003990,2025-01-06 17:38:00.000000000,ACC00203,ACC00297,1275.88,WIRE,DE,AU
T0001797,2025-01-06 17:49:00.000000000,ACC00130,ACC00178,463.23,ACH,CA,DE
T0001219,2025-01-06 17:52:00.000000000,ACC00089,ACC00170,847.97,WIRE,CA,AU
T0001997,2025-01-06 17:54:00.000000000,ACC00142,ACC00008,519.74,CARD,DE,DE
T0000410,2025-01-06 18:00:00.000000000,ACC00127,ACC00030,43.44,ACH,IN,GB
T0002615,2025-01-06 18:20:00.000000000,ACC00189,ACC00184,220.64,ACH,SG,GB
T0000433,2025-01-06 18:21:00.000000000,ACC00272,ACC00031,333.28,WIRE,GB,AU
T0003620,2025-01-06 18:41:00.000000000,ACC00262,ACC00234,504.85,CARD,DE,DE
T0003198,2025-01-06 18:57:00.000000000,ACC00232,ACC00131,240.46,ACH,IN,US
T0001702,2025-01-06 19:09:00.000000000,ACC00122,ACC00084,398.74,WIRE,IN,DE
T0003394,2025-01-06 19:34:00.000000000,ACC00000,ACC00246,518.36,ACH,IN,US
T0002801,2025-01-06 19:42:00.000000000,ACC00093,ACC00202,635.01,WIRE,GB,SG
T0002531,2025-01-06 19:50:00.000000000,ACC00183,ACC00129,114.92,WIRE,AU,AU
T0002540,2025-01-06 19:53:00.000000000,ACC00184,ACC00070,2418.35,ACH,GB,US
T0003002,2025-01-06 19:59:00.000000000,ACC00216,ACC00215,248.68,WIRE,DE,US
T0003632,2025-01-06 20:06:00.000000000,ACC00264,ACC00295,62.39,CASH,IN,US
T0001869,2025-01-06 20:12:00.000000000,ACC00134,ACC00169,1215.27,ACH,IN,DE
T0001647,2025-01-06 20:38:00.000000000,ACC00118,ACC00045,98.24,CARD,AU,DE
T0003950,2025-01-06 20:54:00.000000000,ACC00067,ACC00293,1343.75,WIRE,CA,AU
T0000965,2025-01-06 21:07:00.000000000,ACC00068,ACC00028,224.18,CARD,GB,AU
T0000560,2025-01-06 21:16:00.000000000,ACC00039,ACC00158,786.09,WIRE,DE,US
T0004095,2025-01-06 22:00:00.000000000,ACC00275,ACC00062,49000.0,WIRE,IN,SG
T0000801,2025-01-06 23:51:00.000000000,ACC00288,ACC00057,1395.06,ACH,SG,CA
T0003880,2025-01-07 05:29:00.000000000,ACC00263,ACC00288,392.61,WIRE,IN,SG
T0000375,2025-01-07 05:48:00.000000000,ACC00028,ACC00099,514.97,WIRE,AU,CA
T0000804,2025-01-07 06:03:00.000000000,ACC00057,ACC00257,448.51,CARD,CA,GB
T0002075,2025-01-07 06:15:00.000000000,ACC00064,ACC00149,720.48,WIRE,IN,GB
T0001024,2025-01-07 06:18:00.000000000,ACC00072,ACC00182,206.41,CARD,CA,US
T0001855,2025-01-07 06:28:00.000000000,ACC00019,ACC00133,540.22,ACH,SG,IN
T0002004,2025-01-07 06:38:00.000000000,ACC00142,ACC00187,841.75,ACH,DE,DE
T0001130,2025-01-07 06:44:00.000000000,ACC00216,ACC00082,1551.17,WIRE,DE,US
T0001849,2025-01-07 07:05:00.000000000,ACC00133,ACC00213,797.17,ACH,IN,GB
T0000120,2025-01-07 07:10:00.000000000,ACC00125,ACC00007,56.35,CARD,DE,IN
T0002361,2025-01-07 07:15:00.000000000,ACC00170,ACC00119,224.92,WIRE,AU,US
T0000758,2025-01-07 07:29:00.000000000,ACC00215,ACC00054,126.73,ACH,US,SG
T0002753,2025-01-07 07:31:00.000000000,ACC00198,ACC00068,541.72,WIRE,DE,GB
T0001005,2025-01-07 07:43:00.000000000,ACC00071,ACC00159,125.32,WIRE,US,GB
T0003467,2025-01-07 07:59:00.000000000,ACC00070,ACC00251,900.9,ACH,US,SG
T0001558,2025-01-07 08:06:00.000000000,ACC00113,ACC00129,542.11,ACH,GB,AU
T0000514,2025-01-07 08:38:00.000000000,ACC00182,ACC00036,321.89,CARD,US,CA
T0001989,2025-01-07 08:51:00.000000000,ACC00034,ACC00141,218.89,WIRE,DE,AU
T0003837,2025-01-07 08:52:00.000000000,ACC00284,ACC00252,534.59,ACH,AU,IN
T0002624,2025-01-07 09:04:00.000000000,ACC00229,ACC00190,1420.14,ACH,SG,CA
T0000867,2025-01-07 09:07:00.000000000,ACC00137,ACC00061,711.31,CARD,CA,DE
T0003915,2025-01-07 09:14:00.000000000,ACC00291,ACC00191,291.11,ACH,AU,SG
T0003833,2025-01-07 09:16:00.000000000,ACC00284,ACC00295,1150.19,WIRE,AU,US
T0002098,2025-01-07 09:21:00.000000000,ACC00150,ACC00069,1502.21,CARD,CA,DE
T0000007,2025-01-07 09:29:00.000000000,ACC00086,ACC00000,659.26,CARD,AU,IN
T0000040,2025-01-07 09:30:00.000000000,ACC00002,ACC00118,715.41,WIRE,AU,AU
T0000819,2025-01-07 09:35:00.000000000,ACC00019,ACC00058,359.27,ACH,SG,CA
T0001947,2025-01-07 09:36:00.000000000,ACC00069,ACC00139,1457.13,CRYPTO,DE,IN
T0000293,2025-01-07 09:43:00.000000000,ACC00001,ACC00020,326.74,ACH,IN,CA
T0001847,2025-01-07 09:56:00.000000000,ACC00011,ACC00133,1099.75,CARD,CA,IN
T0003282,2025-01-07 09:58:00.000000000,ACC00237,ACC00076,86.29,WIRE,SG,DE
T0000870,2025-01-07 10:01:00.000000000,ACC00017,ACC00061,172.04,CASH,CA,DE
T0000373,2025-01-07 10:03:00.000000000,ACC00054,ACC00028,333.38,CASH,SG,AU
T0003767,2025-01-07 10:06:00.000000000,ACC00138,ACC00277,311.97,WIRE,AU,AU
T0002370,2025-01-07 10:14:00.000000000,ACC00170,ACC00008,429.41,WIRE,AU,DE
T0001748,2025-01-07 10:16:00.000000000,ACC00126,ACC00106,759.03,CARD,GB,DE
T0002234,2025-01-07 10:17:00.000000000,ACC00144,ACC00160,1563.18,WIRE,SG,DE
T0001087,2025-01-07 10:36:00.000000000,ACC00069,ACC00078,1094.54,CARD,DE,CA
T0000416,2025-01-07 10:36:00.000000000,ACC00031,ACC00101,542.9,CARD,AU,DE
T0000886,2025-01-07 10:44:00.000000000,ACC00036,ACC00062,1185.09,WIRE,CA,SG
T0002162,2025-01-07 10:49:00.000000000,ACC00155,ACC00048,759.07,CARD,AU,CA
T0001321,2025-01-07 10:50:00.000000000,ACC00097,ACC00111,146.11,ACH,US,SG
T0001140,2025-01-07 11:02:00.000000000,ACC00082,ACC00145,595.85,ACH,US,IN
T0002831,2025-01-07 11:06:00.000000000,ACC00263,ACC00204,376.64,WIRE,IN,DE
T0000199,2025-01-07 11:20:00.000000000,ACC00186,ACC00013,2672.37,ACH,GB,IN
T0001812,2025-01-07 11:20:00.000000000,ACC00163,ACC00131,1107.78,ACH,CA,US
T0001913,2025-01-07 11:22:00.000000000,ACC00137,ACC00031,192.71,WIRE,CA,AU
T0000469,2025-01-07 11:22:00.000000000,ACC00033,ACC00163,434.09,WIRE,SG,CA
T0001958,2025-01-07 11:32:00.000000000,ACC00019,ACC00140,358.4,CARD,SG,GB
T0002064,2025-01-07 11:45:00.000000000,ACC00148,ACC00162,227.72,ACH,GB,GB
T0002401,2025-01-07 11:46:00.000000000,ACC00173,ACC00008,1347.85,CARD,AU,DE
T0003966,2025-01-07 11:53:00.000000000,ACC00141,ACC00294,548.89,CASH,AU,SG
T0002715,2025-01-07 12:04:00.000000000,ACC00196,ACC00046,1236.99,CARD,DE,AU
T0001051,2025-01-07 12:14:00.000000000,ACC00111,ACC00073,265.33,WIRE,SG,SG
T0001786,2025-01-07 12:15:00.000000000,ACC00129,ACC00094,2549.53,WIRE,AU,CA
T0004024,2025-01-07 12:19:00.000000000,ACC00299,ACC00003,276.32,ACH,US,DE
T0003725,2025-01-07 12:25:00.000000000,ACC00030,ACC00273,879.55,CARD,GB,SG
T0002216,2025-01-07 12:31:00.000000000,ACC00159,ACC00292,1875.89,WIRE,GB,AU
T0004003,2025-01-07 12:35:00.000000000,ACC00168,ACC00297,1239.73,ACH,CA,AU
T0001042,2025-01-07 12:43:00.000000000,ACC00120,ACC00072,381.62,CRYPTO,DE,CA
T0001866,2025-01-07 13:01:00.000000000,ACC00239,ACC00134,581.36,WIRE,US,IN
T0002118,2025-01-07 13:07:00.000000000,ACC00283,ACC00151,414.49,ACH,DE,AU
T0003723,2025-01-07 13:09:00.000000000,ACC00273,ACC00146,377.56,CASH,SG,SG
T0003221,2025-01-07 13:14:00.000000000,ACC00233,ACC00123,121.53,ACH,DE,AU
T0003243,2025-01-07 13:28:00.000000000,ACC00234,ACC00097,125.36,ACH,DE,US
T0000952,2025-01-07 13:31:00.000000000,ACC00171,ACC00067,229.34,WIRE,GB,CA
T0001798,2025-01-07 13:32:00.000000000,ACC00011,ACC00130,598.53,ACH,CA,CA
T0003568,2025-01-07 13:36:00.000000000,ACC00275,ACC00258,2046.18,WIRE,IN,CA
T0003763,2025-01-07 13:50:00.000000000,ACC00182,ACC00277,938.97,CASH,US,AU
T0001825,2025-01-07 13:54:00.000000000,ACC00131,ACC00133,486.47,ACH,US,IN
T0003583,2025-01-07 13:55:00.000000000,ACC00259,ACC00032,708.73,WIRE,GB,US
T0003123,2025-01-07 13:58:00.000000000,ACC00238,ACC00227,191.88,WIRE,GB,CA
T0000554,2025-01-07 14:00:00.000000000,ACC00038,ACC00263,596.07,WIRE,AU,IN
T0000113,2025-01-07 14:05:00.000000000,ACC00007,ACC00124,656.48,ACH,IN,IN
T0000078,2025-01-07 14:06:00.000000000,ACC00005,ACC00104,86.23,ACH,SG,AU
T0002447,2025-01-07 14:10:00.000000000,ACC00177,ACC00235,489.62,ACH,IN,IN
T0001178,2025-01-07 14:13:00.000000000,ACC00103,ACC00087,709.94,CASH,SG,DE
T0000105,2025-01-07 14:16:00.000000000,ACC00257,ACC00006,405.72,ACH,GB,SG
T0002409,2025-01-07 14:16:00.000000000,ACC00174,ACC00179,763.4,WIRE,CA,GB
T0003115,2025-01-07 14:19:00.000000000,ACC00225,ACC00186,911.33,WIRE,IN,GB
T0001562,2025-01-07 14:21:00.000000000,ACC00026,ACC00114,2062.07,CARD,CA,CA
T0000018,2025-01-07 14:22:00.000000000,ACC00261,ACC00001,62.32,ACH,CA,IN
T0000836,2025-01-07 14:35:00.000000000,ACC00102,ACC00059,510.71,ACH,AU,IN
T0002749,2025-01-07 14:42:00.000000000,ACC00198,ACC00164,268.48,WIRE,DE,GB
T0003496,2025-01-07 14:54:00.000000000,ACC00253,ACC00038,743.21,CASH,GB,AU
T0001531,2025-01-07 15:05:00.000000000,ACC00112,ACC00129,408.85,CARD,IN,AU
T0002710,2025-01-07 15:05:00.000000000,ACC00196,ACC00077,626.32,CARD,DE,CA
T0001640,2025-01-07 15:16:00.000000000,ACC00094,ACC00118,43.62,ACH,CA,AU
T0003392,2025-01-07 15:24:00.000000000,ACC00246,ACC00229,572.51,CASH,US,SG
T0000583,2025-01-07 15:27:00.000000000,ACC00247,ACC00040,3238.5,WIRE,SG,CA
T0000659,2025-01-07 15:30:00.000000000,ACC00047,ACC00187,116.07,CASH,DE,DE
T0002920,2025-01-07 15:35:00.000000000,ACC00209,ACC00205,691.75,CARD,AU,AU
T0000814,2025-01-07 15:36:00.000000000,ACC00057,ACC00203,789.19,ACH,CA,DE
T0002329,2025-01-07 15:38:00.000000000,ACC00169,ACC00168,321.24,ACH,DE,CA
T0000983,2025-01-07 15:46:00.000000000,ACC00070,ACC00246,36.24,WIRE,US,US
T0002398,2025-01-07 15:48:00.000000000,ACC00026,ACC00173,172.26,CARD,CA,AU
T0001859,2025-01-07 15:48:00.000000000,ACC00133,ACC00064,2940.97,CASH,IN,IN
T0001502,2025-01-07 15:52:00.000000000,ACC00064,ACC00110,1263.16,CARD,IN,IN
T0000268,2025-01-07 15:54:00.000000000,ACC00205,ACC00018,525.11,CRYPTO,AU,CA
T0002185,2025-01-07 16:01:00.000000000,ACC00057,ACC00157,434.7,CARD,CA,US
T0003485,2025-01-07 16:02:00.000000000,ACC00252,ACC00195,786.68,WIRE,IN,CA
T0003414,2025-01-07 16:21:00.000000000,ACC00183,ACC00248,132.67,WIRE,AU,US
T0002747,2025-01-07 16:24:00.000000000,ACC00101,ACC00198,403.74,WIRE,DE,DE
T0000856,2025-01-07 16:28:00.000000000,ACC00060,ACC00246,456.82,WIRE,AU,US
T0000463,2025-01-07 16:39:00.000000000,ACC00144,ACC00033,256.77,CARD,SG,SG
T0001701,2025-01-07 16:43:00.000000000,ACC00232,ACC00122,152.79,WIRE,IN,IN
T0002373,2025-01-07 16:43:00.000000000,ACC00170,ACC00106,325.57,ACH,AU,DE
T0001512,2025-01-07 16:44:00.000000000,ACC00110,ACC00202,329.95,ACH,IN,SG
T0002579,2025-01-07 16:52:00.000000000,ACC00190,ACC00187,2194.56,ACH,CA,DE
T0000314,2025-01-07 16:57:00.000000000,ACC00222,ACC00023,2387.45,CRYPTO,CA,DE
T0001264,2025-01-07 16:57:00.000000000,ACC00212,ACC00093,1124.3,WIRE,IN,GB
T0002458,2025-01-07 17:06:00.000000000,ACC00214,ACC00177,209.08,WIRE,SG,IN
T0001703,2025-01-07 17:17:00.000000000,ACC00123,ACC00091,156.16,WIRE,AU,SG
T0002570,2025-01-07 17:41:00.000000000,ACC00186,ACC00206,297.84,CRYPTO,GB,SG
T0002007,2025-01-07 17:59:00.000000000,ACC00143,ACC00079,449.42,WIRE,US,US
T0004123,2025-01-07 18:00:00.000000000,ACC00156,ACC00079,9461.32,CASH,CA,US
T0003625,2025-01-07 18:03:00.000000000,ACC00204,ACC00264,294.82,ACH,DE,IN
T0000923,2025-01-07 18:30:00.000000000,ACC00211,ACC00065,456.29,WIRE,IN,IN
T0003502,2025-01-07 18:31:00.000000000,ACC00148,ACC00253,155.18,WIRE,GB,GB
T0003683,2025-01-07 18:39:00.000000000,ACC00268,ACC00023,221.51,WIRE,SG,DE
T0003919,2025-01-07 18:58:00.000000000,ACC00291,ACC00152,2052.45,ACH,AU,SG
T0002499,2025-01-07 19:10:00.000000000,ACC00180,ACC00021,191.24,WIRE,CA,GB
T0003195,2025-01-07 19:22:00.000000000,ACC00232,ACC00012,155.64,CARD,IN,DE
T0002084,2025-01-07 19:23:00.000000000,ACC00149,ACC00197,411.67,CASH,GB,US
T0001940,2025-01-07 19:55:00.000000000,ACC00129,ACC00138,497.53,WIRE,AU,AU
